,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
movie_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
user_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.003227810070993,3.920803629464918,4.155654373582996,3.527606567425043,3.920238212724966,4.142494726814228,2.6558428084818093,4.06599006627685,4.0104305394020905,3.8050242304361763,3.536087302396424,3.5605041752995783,4.960083652627825,3.999346521267333,3.2660677721410036,3.885971218189453,2.389705270019309,3.1553700061255716,4.122774420309206,3.4074553315041096,4.011951825798519,3.6087522542439094,3.4817767485009976,3.798363543829304,3.7969796804758262,3.9845769327351332,3.3298989738034193,3.990533899565145,3.457330771633598,3.1103492210367976,2.724843724622671,3.3581179796760092,3.039265595975111,4.571924394391944
2,4.970691771755831,4.967962572079884,4.44522775399163,3.9040299072607194,4.83091682262725,4.7067782725361305,3.3943047161209305,4.69882400595948,4.531418848681879,4.8373367068221835,3.9633817350905565,4.065507836035735,4.77745296744285,4.012890651459264,3.998509821875181,4.2176948448229865,2.5296480565330017,3.543079638630837,4.199822799902057,4.3989046510345196,4.99394047470226,4.573862233463003,3.822214752757382,4.732124072617548,4.314215152404755,4.494277334299061,4.414509151743597,4.16327909406415,3.46238555051663,4.38829110443701,2.9943098769224106,4.346959023838056,4.013651383210735,3.999405549741325
3,4.017216242223372,3.98571160906084,4.955705035113273,4.0884041235460336,4.528599508933582,4.271118881575605,2.818660389328456,4.337640208494729,4.4914329026590805,4.3676556143655665,3.7240323024086663,3.5325911473528553,4.964911096429919,4.196822149167791,3.4433179740224062,3.6206201587654236,2.764936717395359,3.4223891502228505,4.219212986930456,3.503169882970212,4.440165548255403,3.0109249958174504,3.0160211869659883,3.863042797898091,4.080321273469499,4.316880399120559,3.878981271711486,4.474773119786179,3.2056610413246225,3.2397242565306734,2.235263721946363,2.593159379479141,3.444753501705255,4.6009361914665154
4,4.991072502050706,4.987244299940866,4.928805028274679,4.961957339701628,5.010573317030178,4.961637548598466,3.945324349611868,5.075957953387679,4.9517726598677365,5.017124365349513,4.511324004037616,3.821935676843323,5.0003675826287,4.204442629553519,3.582869268614359,4.3714475295879165,3.1315387840145235,3.5421006244964994,4.341260662520853,3.98266594799592,4.722600973113708,4.591688617753203,3.598113349218247,4.979612449292834,4.062737283069297,4.741855312952615,4.502961240375403,4.906618434578177,3.1164907057479647,3.412357252222886,2.0091679559637234,4.223538259192367,4.171517221934102,4.644389728680934
5,4.98062368589476,4.240557644917446,5.460822767336915,4.374178495632825,5.161713172407712,4.556248565679808,3.148383956067822,4.638848237488319,4.982058127137821,4.918390132958906,4.143137705325441,4.106060740097704,4.973587236939496,4.675519565019357,3.296633622378807,4.269283715678855,3.0237987079730386,3.437551561616999,4.96974654847109,3.3909706812802027,3.995056370206347,3.489692257014862,3.109011608153255,4.4313166446892245,4.5079548832099094,4.723590267446941,3.7375811905123837,5.071973278859387,3.0172410878630527,3.6100655140942943,2.9962638078720323,2.031792640215955,4.980757185903569,4.987310438868358
6,4.970674853306591,4.964529418384852,4.167908752082543,3.8768973535192983,4.507178531950254,4.541732640424842,3.5560366962814114,4.707688632335578,4.286451365151065,4.623688481229501,3.8845699857462024,3.787248300209132,4.322911417029171,3.631598403158228,3.907831503062694,4.0998022074271265,2.5426224327816125,3.0854493786212114,3.7354171408777748,4.184707494109595,4.888574319232997,4.815117918824968,3.906559107471103,4.847845320323366,4.016800063740255,4.217955455131421,4.734110220381709,3.837057350671006,3.4752551912038103,3.8104269513524924,2.0107208195281334,4.9792867513995,4.0016888091447305,3.0166560278209142
7,4.9788554564660785,4.184232047891922,4.220272197561778,2.0410999927914557,4.145358249407942,4.237886138028392,2.827353923994349,4.0409663564014675,4.000552677920946,4.115080875837268,3.3291775173861873,4.96769418667194,4.988586843067696,4.912689584856332,4.039621849105605,4.983455570972843,2.098276664270532,2.940301357279167,4.261792590181469,4.525512391859442,4.619947337683696,4.995948668521987,4.981594200396393,4.693569111978013,4.547927796083827,3.9880357128228843,3.7975249322688005,3.6671646734409715,5.167038446739343,4.448514228822343,4.279132440825704,4.518751881091177,4.579281568129119,4.0029524539119965
8,4.0331699450785585,4.610419576903365,4.988335216775968,4.0930214447239575,4.812346667336411,4.3801028546757745,3.455176566779195,4.456605849660422,4.892526767192224,5.002090653753863,4.260665949541484,4.029652048571918,4.413671718235349,4.9847654895620295,3.482436587798766,4.047680401481587,3.2911544457694624,4.05455135149595,3.661479578956242,3.9382416686722452,5.036977702535864,3.6354141578550583,3.001186408992219,4.480704813361621,4.267508492074171,4.697454370642549,4.961243063837866,4.964606605397628,3.4003156841450055,3.4726636694605,2.099038841999268,3.1533911286523204,3.7946478904825733,4.454272356120179
9,4.985841122315305,4.639639648398772,4.999144798418294,4.1433307350805775,4.872687563066306,4.668090900324889,3.4083604157964875,4.796617422973234,4.768862873311002,4.763674792772179,4.3525692501775985,4.28911473637826,4.999019637576344,4.867256655534471,3.3624100973112587,4.9777941092601505,2.9696675339778804,3.451386801464571,4.362686638799732,3.587790168355049,4.595830867467269,4.565838611866384,3.9722705207052114,4.754225355840935,4.421136629286622,4.743436706544713,4.053826577479281,4.974981073698216,3.998281134328277,3.4454354035449857,2.611620549113981,3.7334160401685637,4.461409326214594,4.88958256868919
10,4.009620054248389,3.9855336248066795,4.000588377637454,2.525009846950621,3.924808833406899,4.251338858564417,2.7783294746772706,4.018300587901328,4.007528722665108,3.9033180899753317,2.5113136535957565,4.0117398754913225,4.990412084730555,3.019730071486346,4.950849704001001,3.548974652868016,2.9545062546314145,2.79843636347448,4.526183032036109,5.089879325036169,3.9787408860845277,4.0015920613461,4.960478387124452,4.037012823020867,3.645902816375717,3.572213177576563,3.898127395074048,3.206320390783135,4.997889025586715,5.332735410488336,2.968030042255753,4.6639043447933,3.298711968245751,4.02428707978091
